gene_id,WT1,WT2,LOF1,LOF2,LOF3,GOF1,GOF2,GOF3
Khdrbs2,0,0,0,0,0,0,0,0
Gm9839,0.116204,0,0,0.0248633,0,0,0.101353,0.00743895
Gm5415,0.106003,0,0,0.0362943,0,0.0107961,0.0231223,0.0425458
Prim2,9.75279,7.75963,9.96227,6.18989,8.80748,6.05874,3.94747,9.92813
1700001G17Rik,0,0,1.83001,0,0,0.553482,0,0
Rab23,0.451591,0.664932,0.554055,1.46571,0.644583,0.105404,1.42017,1.12623
Bag2,0.497487,0.966846,1.70357,2.05157,0,1.03597,0.749573,1.38994
Zfp451,3.49943,4.01129,2.43267,4.09463,2.98412,5.30461,3.58476,3.27592
Gm15455,0.663486,0.95005,0.372572,1.1188,0,0.709468,0.665704,0.82264
Bend6,0,0,0,0,0,0,0,0
Dst,2.09646,2.62356,2.71545,2.23547,3.13631,2.05613,1.76753,2.12511
Mir6896,0,0,0,0,0,0,0,0
Mir5103,0,0,0,0,0,0,0,0
Ccdc115,20.111,8.62693,13.5087,30.3705,16.742,22.5155,25.1119,15.0798
Imp4,27.7246,22.1877,36.7638,33.3272,18.7984,26.8164,25.0516,27.1496
Ptpn18,9.69743,23.1675,12.8142,8.77336,9.82762,8.20823,9.74573,10.0954
Prss39,0,0,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0
Amer3,0,0,0,0,0,0,0,0
AA619741,0,0,0,0,0,0,0,0
Arhgef4,1.0662,1.87246,1.19663,0.354904,0,3.37786,1.62784,0.74349
Fam168b,29.6433,20.5556,23.9125,30.1228,23.9506,29.6368,35.427,38.326
Plekhb2,18.2513,11.6066,26.835,25.4101,19.9083,20.6044,19.173,20.4275
Mir7669,0,0,0,0,0,0,0,0
Hs6st1,23.3797,12.6987,21.8784,25.3449,18.7905,14.0062,20.1194,18.4507
Uggt1,10.9664,9.25889,12.223,14.2329,17.9096,9.89387,12.7468,9.57331
Mir6897,0,0,0,0,0,0,0,0
Neurl3,29.844,38.3004,39.4019,47.0456,40.1179,31.3112,53.8013,53.9206
Arid5a,1.52338,1.12824,0.33162,0.566971,0.108381,1.50168,2.55293,3.8247
Kansl3,26.9525,25.4906,21.4375,22.7303,19.087,20.5764,21.9063,18.6458
Mir6898,0,0,0,0,0,0,0,0
Fer1l5,0.0496995,0.184894,0.119111,0.0425432,0.141888,0.075938,0.0162628,0.0318351
Lman2l,1.38555,1.69481,3.27112,3.79184,7.35486,4.4551,5.88462,2.57764
Cnnm4,22.6803,18.1889,26.0421,36.7319,26.523,10.3998,15.813,18.4531
Cnnm3,12.2827,5.78219,6.41212,7.29342,7.98516,9.09785,7.24558,10.2054
Ankrd23,3.63819,3.53733,2.40572,1.9328,1.43236,1.87334,1.64159,1.64942
Ankrd39,3.95671,2.18092,1.73304,2.89429,0.525279,2.13116,3.27086,3.01645
Sema4c,1.48122,0.194,0.214291,0.223221,0,3.95209,4.29584,3.91235
Fam178b,0,0,0,0,0,0,0.0216818,0
Cox5b,138.777,147.055,147.315,165.878,118.686,125.306,131.072,158.328
Actr1b,15.7209,12.8282,16.7269,17.2643,21.3364,17.2638,23.7521,23.6374
4933424G06Rik,0,0,0,0,0,0,0,0
Zap70,0,0,0,0,0,0,0,0
Tmem131,61.4927,31.6577,56.0088,58.5919,62.1162,66.6142,71.8519,66.2373
Cnga3,0,0,0,0,0,0,0,0
Inpp4a,3.97219,6.23374,5.08881,6.73112,6.78058,6.6105,5.50693,6.22698
Coa5,19.7137,6.69052,23.4095,25.5669,19.7177,22.7789,23.0388,19.5174
Unc50,2.4279,1.92593,1.21677,4.3332,2.70409,3.55606,2.71155,4.21537
Mgat4a,17.9849,14.688,30.8904,34.0007,40.4965,17.3028,17.7975,18.9152
4930594C11Rik,3.0907,6.58764,5.05176,4.05559,9.98796,3.87485,2.20043,2.33036
2010300C02Rik,16.2025,13.6671,14.3129,21.5052,10.2904,12.012,13.7416,14.9867
Tsga10,0.36072,0,0.101098,0.0171521,0,0,0.139856,0.123187
Lipt1,4.96244,3.57042,5.15297,4.52121,0,8.69055,4.51462,6.28563
Mitd1,3.92702,3.9685,3.35049,2.94807,2.88368,1.99818,2.01281,2.96337
Mrpl30,38.0601,38.8866,35.8006,30.0111,71.6233,21.4347,22.3072,39.5557
Lyg2,0,0,0.150649,0,0,0.0320014,0,0
Lyg1,0,0,0,0,0,0,0,0
Txndc9,4.76261,3.61364,4.79185,5.37926,4.77756,4.55323,5.80587,5.19797
Eif5b,7.5861,10.3971,5.53121,7.29267,6.91376,6.21489,6.33515,5.5845
Rev1,1.76476,2.83312,2.04802,1.57422,1.90915,2.4502,3.42003,2.40819
Aff3,0,0,0,0,0,0,0,0
Lonrf2,0,0,0,0,0,0,0,0
Chst10,0,0,0,0,0,0,0,0
Nms,0,0,0,0,0,0,0,0
Pdcl3,4.63809,2.42481,5.09569,5.60302,10.2963,5.70529,7.79647,7.17634
Mir6349,0,0,0,0,0,0,0,0
Npas2,15.8806,10.5033,11.3548,17.9247,13.1283,16.3966,16.0225,13.5167
Rpl31,92.3525,101.116,83.2857,78.7319,64.2443,127.909,103.394,143.625
Tbc1d8,3.59987,3.72892,2.61152,2.83737,2.71338,6.27132,2.97,4.16402
Cnot11,12.9466,8.87025,15.6923,13.0908,14.3126,14.6371,18.1876,18.5162
Snord89,0,0,0,0,0,0,0,139.733
Rnf149,10.4996,8.1242,8.00956,10.281,15.1753,15.7326,22.3637,25.533
Creg2,0,0,0,0,0,0,0,0
Rfx8,0,0,0,0,0,0,0,0
Gm3646,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0
Map4k4,13.8469,10.5852,7.79395,10.8834,7.93359,17.6894,24.7387,20.3509
Gm16894,0,0,0,0,0,0,0,0
Il1r2,0,0,0,0,0,0,0,0
Il1r1,0,0,0,0,0,0,0,0
Il1rl2,0,0,0,0,0,0,0,0
Il1rl1,0,0,0,0,0,0,0,0
Il18r1,0,0.383264,0.0521897,0.19755,0,0.0932852,0.0664998,0
Il18rap,0,0,0,0,0,0,0,0
Slc9a4,0.60256,0,0.0853701,0.133391,0,0,0.145034,0
Slc9a2,9.07368,5.21507,16.0335,15.358,16.1404,7.63899,6.65371,5.68871
Mfsd9,1.41978,0.919393,2.18759,1.85547,2.316,1.79448,2.05718,1.1431
Tmem182,0,0.363116,0,0.334532,0,0.954592,1.159,0.200143
4930448I06Rik,0,0,0,0,0,0,0,0
Pantr1,0,0,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0,0,0
2900092D14Rik,0,0,0,0,0,0,0,0
Pantr2,0,0,0,0,0,0,0,0
Mrps9,9.07067,8.48358,8.99626,10.334,6.94825,9.86185,8.60492,7.60144
Gpr45,0,0,0,0,0,0,0,0
Tgfbrap1,7.41767,5.2863,4.97227,6.31913,3.62409,6.60755,6.39189,5.46853
AI597479,1.9126,1.3285,1.90936,1.29195,1.22793,2.91008,3.32744,2.05437
Fhl2,6.14298,5.81348,2.39382,5.09895,1.12238,10.6465,11.7789,14.809
Nck2,24.8295,21.1215,31.0938,37.4278,29.629,35.0983,41.8354,43.3221
1500015O10Rik,0,0,0,0,5.6531,0,0.259109,0
Uxs1,7.42199,4.41082,7.09881,6.89553,7.63291,8.94825,7.69751,6.77943
Tpp2,3.02472,2.48106,4.46827,4.41463,5.23925,3.27122,5.28588,3.90957
Mettl21c,0,0,0.486917,0,0,0.281269,0.619867,0.323504
Tex30,1.26823,0.682185,2.1031,0.485565,1.52394,0.917054,1.2807,2.18754
Kdelc1,2.78655,1.45719,2.4331,1.47578,4.24222,2.41177,2.52215,3.19407
Bivm,2.51815,1.05682,2.47214,2.96616,0.254465,2.19015,1.78879,3.36831
Ercc5,1.14704,0.772411,0.947976,0.736384,1.12915,0.715056,2.26911,1.07413
Mettl21e,0,0,0,0.0429932,0,0,0,0
Gulp1,0,0,0,0,0,0,0,0
4930521E06Rik,0,0,0,0,0,0,0,0
Col3a1,0,0,0,0,0.053833,0,0,0
Col5a2,0,0,0,0,0,0,0,0
Wdr75,7.73672,2.5792,3.84175,4.80176,5.16195,3.81364,4.84048,4.76901
Slc40a1,0.448131,0.657947,0.193817,0.98925,2.87277,0.156134,0.298389,1.12387
Gm4776,0,0,0,0,0,0,0,0
Dnah7b,0,0.0764059,0.0346125,0.0162268,0.0481065,0.0595424,0.1089,0.0194292
Slc39a10,0.890403,0.635841,1.17588,1.93268,1.63412,1.14987,0.950355,1.06732
Mir6350,0,0,0,0,0,0,0,0
Tmeff2,0,0,0,0,0,0,0,0
9330175M20Rik,0,0,0,0,0,0,0,0
Sdpr,0,0,0,0,0,0.106679,0,0
Nabp1,0.480602,0.131427,0.5808,0.108893,1.29123,0.316685,0.0493299,0.550393
Myo1b,4.62522,3.4173,2.96243,2.13589,4.55569,4.87888,7.26451,5.89084
Stat4,0,0,0.22075,0,0,0.0957482,0.140622,0.0412891
Stat1,17.1662,11.838,16.1766,13.0854,15.4583,6.87667,3.90813,5.48553
Gls,7.65972,4.2688,11.3062,6.27054,9.41112,12.6339,14.51,13.0233
Nab1,1.84384,2.52173,4.14852,3.44844,2.59509,2.20952,3.00143,3.78723
Tmem194b,1.33384,1.21813,2.0878,1.3762,3.17307,1.94062,1.81841,1.68413
Mfsd6,20.3585,14.3015,23.4805,22.8319,20.917,26.3034,28.0725,28.6089
Inpp1,1.06582,1.07678,1.26948,1.82445,0.705419,1.74551,1.31373,3.98761
Hibch,2.27358,0.539521,1.95469,2.75327,0.736374,1.305,1.58235,1.23885
1700019D03Rik,4.57719,5.4354,3.57333,4.69085,17.0073,13.6403,12.2494,5.44794
Mstn,0,0,0,0,0,0,0,0
1700019A02Rik,0,0,0,0,0,0,0,0
Pms1,2.08585,1.1784,1.42839,0.700603,1.40694,1.11588,1.07118,0.933403
Ormdl1,2.22094,1.65148,2.43367,1.4827,2.36664,2.80374,0.988056,1.93395
Osgepl1,4.16937,2.85831,5.03707,2.95564,2.17131,4.5352,5.01528,4.33877
Asnsd1,7.20296,6.03763,7.36034,5.8594,8.30713,6.04118,7.853,9.65751
Dnah7a,0,0.0117992,0,0,0.0482884,0.00484602,0.0207554,0
Stk17b,0.584282,0.588568,1.15032,1.94841,3.61387,1.10331,1.25321,1.2224
Hecw2,0,0,0,0,0,0,0,0
Mir7681,0,0,0,0,0,0,0,0
Ccdc150,0,0.1552,0.0285721,0,0,0,0.0364054,0
Gtf3c3,2.55747,1.56053,2.55406,2.72496,2.94054,2.15683,3.03319,2.38857
Pgap1,1.21575,1.0897,1.55393,1.57053,2.29996,1.64758,1.68137,1.91066
Ankrd44,0.550039,1.17779,0.525545,1.10045,2.19113,0.70361,1.14409,1.24543
Sf3b1,15.764,15.7465,19.5394,14.7589,15.4482,18.3377,21.2143,17.9824
Coq10b,0.575799,0.529894,0.650771,0.447296,0,2.34577,1.09823,2.01979
Hspd1,50.7756,33.4915,62.5576,53.1373,54.9504,44.8814,43.4641,40.609
Hspe1,81.6268,72.0718,89.3833,107.922,111.369,97.5877,71.1538,104.697
Mob4,3.30764,3.70721,3.77324,3.98392,6.89895,4.0289,3.19662,3.71604
Rftn2,0.432569,0.221234,0,0.323986,0.576274,0.143182,0.198147,0.0554098
Mars2,5.59223,3.1301,5.14424,5.95361,2.32969,4.95826,3.17985,4.83219
Boll,0,0,0,0.393501,0,0,0,0
Plcl1,0,0,0,0,0.501128,0,0,0
9130227L01Rik,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0,0,0
Satb2,6.03524,4.37942,4.27555,8.27862,4.42445,4.69784,2.91915,3.10024
9130024F11Rik,0.95193,1.77013,1.18244,2.29965,1.55496,1.14397,1.00832,0.404143
BC055402,0,0,0,0,0,0,0,0
4930558J18Rik,0,0.0369124,0.462306,0.0849682,0,0.687305,0.571564,0.589889
1700066M21Rik,0.106488,0.0990129,0.492229,0.672224,2.33054,0.149112,0.0929072,0.681979
Tyw5,0.180099,1.31248,0.774729,0.881676,1.14233,0.730599,0.707001,0.328206
9430016H08Rik,3.61692,3.00694,8.04053,5.53928,6.03651,5.13418,3.90164,5.13418
Spats2l,0.997791,0.7694,2.95116,1.32535,4.77009,0.0540548,0.510621,0.500373
Kctd18,0.538727,0.71543,0.764757,1.18567,0.146448,0.783165,0.117492,0.473161
Sgol2,0.91692,1.05706,3.49024,4.41025,4.60581,4.7244,3.92732,3.85374
Aox1,0,0,0,0.131364,0,0,0,0
Aox3,0,0,0,0,0,0,0,0
Aox4,0,0,0,0,0,0,0,0.0162581
Aox2,0.148773,0,0,0.00707495,0.125844,0.0926042,0.0288474,0
Bzw1,17.5034,13.4829,31.0523,25.758,23.716,24.0978,24.9944,23.9425
Clk1,12.6541,15.0657,7.34462,7.93609,8.86528,8.34099,10.585,10.898
Ppil3,2.52284,2.48472,3.04183,2.28605,3.30564,4.21295,5.17697,6.21556
Nif3l1,10.2382,6.0696,8.67851,7.0766,14.2628,9.1852,11.2065,11.2612
Orc2,2.10434,1.20653,2.14261,2.84084,4.52696,2.18511,2.75309,1.85507
Fam126b,0.449249,0.910923,0.621389,0.599924,1.2655,0.672737,0.748767,0.897875
Ndufb3,20.0745,25.0398,27.0163,23.6508,9.71429,8.34124,24.8802,17.1686
Gm20257,1.493,2.20967,0.990808,1.69682,0.295838,3.08493,3.19335,2.80227
Als2cr12,0.736339,0.488799,0.72045,1.55302,1.40107,0.240925,0.229382,0.457943
Cflar,6.75402,5.45369,5.30046,7.21356,6.68568,6.25984,6.27879,5.73507
Casp8,18.734,16.4808,22.3601,23.476,21.0594,23.0934,22.0083,27.2139
Trak2,7.7511,4.36516,6.21228,7.60979,6.03511,8.07491,10.0739,9.45923
Stradb,3.31952,2.46882,3.32622,3.00578,5.31958,3.68249,4.90787,5.22696
Als2cr11,0,0,0,0,0,0,0,0
Tmem237,0.630209,0.209188,0.184965,0.577914,0,1.05404,0.765708,0.946564
Mpp4,0.0345047,1.28E-281,1.99E-230,0.181863,0,3.92987e-312,0.045153,1.01E-289
Als2,7.57439,6.6015,6.72316,5.9237,7.14809,3.78904,6.83313,4.76061
Cdk15,0,0,0,0,0,0,0,0
Fzd7,9.78293,3.17514,2.57395,2.28322,2.24929,11.6447,14.838,12.322
Gm973,0,0,0,0.31257,0,0.247936,0.502049,0.0340182
Sumo1,10.6047,8.55591,14.9098,11.852,16.9901,10.4722,11.4691,11.539
Nop58,16.9847,23.1252,18.7642,15.3332,17.615,14.0529,15.0328,17.7606
Snord70,0,0,0,0,0,0,0,0
Snord11,0,0,0,0,0,0,0,0
Bmpr2,4.20929,3.30086,4.98978,5.38384,4.65456,6.51446,8.74758,7.92642
Fam117b,15.6995,8.23948,22.679,20.4078,20.4614,16.694,23.6445,20.6733
Ica1l,0.501108,1.45871,0.77582,0.484885,0.414646,0.965249,0.27564,0.446533
Wdr12,5.31496,2.26054,3.20448,1.82814,2.90523,0.978888,2.38093,2.63503
Carf,0.604458,0.751856,1.07425,0.577332,2.63729,0.322101,0.588791,0.445231
Nbeal1,0.694357,0.651845,1.03013,0.566872,0.856597,1.15601,0.737771,0.942331
Cyp20a1,1.16403,1.75138,1.93618,2.30086,0.843743,3.9495,3.94031,4.45698
Abi2,0.861772,1.63063,1.75342,1.30816,1.75131,1.31109,1.12313,1.73892
Raph1,4.56464,6.723,6.12215,5.15004,9.32371,4.89861,5.45918,5.62205
Cd28,0,0,0,0,0,0,0,0
Ctla4,0,0,0,0,0,0,0,0
Icos,0,0,0,0,0,0,0,0
9530026F06Rik,0,0,0,0,0,0,0,0
Pard3b,2.72891,4.37469,3.09944,3.42028,4.71535,4.17458,2.61292,1.8853
Nrp2,2.21734,3.05699,2.0663,1.68031,1.45311,2.34751,1.78796,1.65937
4930487H11Rik,0,0,0,0,0,0,0,0
Ino80d,17.6419,12.1882,11.5664,13.3072,12.429,14.6496,15.5233,15.9375
Ino80dos,0.68142,0.633281,0.35903,0.469072,0,0.720322,0.342905,0.756707
Ndufs1,4.98143,3.50658,8.0828,7.76115,7.12562,6.23518,7.32375,5.88198
Eef1b2,35.9125,44.1159,35.3136,45.0385,31.5528,73.3628,58.6704,89.227
Snora41,0,0,0,0,0,0,0,0
Gpr1,0,0.127379,0,0.0195492,0,0.0930122,0,0.0467973
Zdbf2,0,0,0,0,0,0.00629906,0,0
Adam23,0,0,0,0,0,0,0,0
Dytn,0,0,0,0,0,0,0,0
Mdh1b,0,0,0,0,0,0,0,0
Fastkd2,1.71942,1.80732,3.68594,2.3143,3.79392,1.91604,3.00034,3.01313
4933402D24Rik,1.21801,0,0,1.56372,0,0.119228,0.183888,0
Gm13749,0,0,0,0,0,0,0,0
Klf7,9.51125,12.4077,7.72257,12.6413,7.1906,11.5392,18.1563,10.9994
Mir6899,0,0,0,0,0,0,0,0
Creb1,3.661,1.60773,3.66024,3.50803,4.22556,3.66425,5.17418,4.85523
Mettl21a,0.0603451,0.70132,0.599216,0.542349,0,1.36728,0.236914,1.12844
2810408I11Rik,0,4.98058,3.06429,5.08389,11.1786,2.07852,0.445498,4.05357
Ccnyl1,3.17807,2.34358,6.49155,6.67175,6.25669,3.0272,3.90815,3.9443
Fzd5,26.7482,15.7863,28.4526,47.3867,39.3844,16.5713,14.097,13.2025
Plekhm3,0.574961,1.96935,0.506183,0.742173,1.94548,1.12492,0.963626,2.16074
Akr1cl,0,0,0,0,0,0,0,0
Cryge,0,0,0,0,0,0,0,0
Crygd,0,0,0,0,0,0,0,0
Crygc,0,0,0,0,0,0,0,0
Crygb,0,0,0,0,0,0,0,0
Cryga,0,0,0,0,0,0,0,0
D630023F18Rik,0,0,0,0.0158996,0,0,0.128543,0.171488
Idh1,8.38151,5.46095,7.21174,8.18568,9.40617,5.59833,5.68708,6.56899
Pikfyve,1.19738,0.727477,1.3175,0.906494,1.00119,0.976544,0.975423,0.826452
Pth2r,0,0,0,0,0,0,0,0
Crygf,0,0,0,0,0,0,0,0
Map2,0.217593,0.364264,0.228467,0.130383,0,0.295524,0.180389,0.616987
Unc80,0,0,0,0,0.262515,0,0.00752233,0.0176707
Rpe,1.28535,1.25194,3.45803,3.86375,4.30974,3.98899,2.17602,3.57474
Kansl1l,1.87189,1.27011,1.96225,1.096,3.11917,2.08199,2.12376,1.46632
Acadl,17.7468,9.94462,18.5328,36.9148,34.3292,16.3171,17.9151,21.319
Myl1,0,0,0,0.0466339,0,0,0,0.613646
Lancl1,4.29589,2.09365,2.8405,4.96553,3.1039,3.71944,3.79588,4.38727
Cps1,393.656,189.285,409.584,320.748,322.794,461.041,484.229,519.066
Erbb4,0,0,0,0,0,0,0,0
Ikzf2,0.00828446,0,0.08509,0,0.0630723,0.0253181,0.0108439,0
Spag16,0,0,0,0,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0
Bard1,2.91883,1.84107,3.64118,2.86959,5.11524,3.37049,2.79276,2.79886
Abca12,0,0,0,0,0,0,0,0
Atic,39.84,27.6658,59.0219,55.5986,59.2688,41.0091,48.0475,45.4027
Fn1,0,0.183904,0.106888,0,0,0.0159001,0,1.41177
Apol7d,0,0,0,0,0,0,0,0
Gm8883,0,0,0,0,0,0,0,0
4933417E11Rik,0,0,0,0,0,0,0,0
Mreg,9.12619,4.12199,6.36063,4.32124,6.40497,11.4021,10.2629,9.46685
Pecr,8.96414,2.19855,3.09462,7.94773,4.63879,8.24626,6.25399,7.63774
Tmem169,0,0,0,0,0,0,0,0
Xrcc5,4.69783,3.04858,3.62741,2.55028,3.24004,3.24271,8.0045,6.5903
4-Mar,0.245935,0,0.155455,0,0,0.125244,0.321881,0.0581614
Smarcal1,2.47577,4.26857,3.7584,2.48416,2.00042,3.21188,2.53739,3.41711
Ankar,0,0,0,0,0,0,0,0
Rpl37a,197.405,235.842,139.144,171.568,83.953,231.85,212.617,244.775
Igfbp2,0.253402,0,0,0,0,0.12895,0.138129,0.0973245
Igfbp5,0,0,0,0,0,0,0,0
Tnp1,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0
Pinc,0,0,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0,0,0
6030407O03Rik,0,0,0,0,0,0,0,0
Mir6351,0,0,0,0,0,0,0,0
Tns1,0.0551128,0.0439374,0,0,0.0598994,0,0,0
Rufy4,0,0,0,0,0,0,0,0
Cxcr2,1.91035,2.89635,1.77583,1.21485,2.98109,0.447715,1.47385,1.12933
